country,year_start,year_end,population_start,population_end,life_exp_start,life_exp_end,gni_start,gni_end,pop_growth,life_exp_gain,gni_growth
Romania,1960,2020,18500000.0,19400000.0,65.8,74.1,364.0,12600.0,0.05,8.3,33.62
Singapore,1960,2020,1600000.0,5910000.0,65.5,84.9,2090.0,54900.0,2.69,19.4,25.27
South Korea,1960,2020,25800000.0,51800000.0,59.1,82.8,1290.0,33000.0,1.01,23.7,24.58
China,1960,2020,654000000.0,1420000000.0,27.8,77.7,454.0,10600.0,1.17,49.9,22.35
Oman,1960,2020,537000.0,4540000.0,45.1,72.7,611.0,14000.0,7.45,27.6,21.91
