country,year_start,year_end,population_start,population_end,life_exp_start,life_exp_end,gni_start,gni_end,pop_growth,life_exp_gain,gni_growth
Qatar,1960,2020,36400.0,2760000.0,65.3,76.2,7770.0,56000.0,74.82,10.9,6.21
United Arab Emirates,1960,2020,133000.0,9290000.0,60.3,74.0,27200.0,39400.0,68.85,13.7,0.45
Kuwait,1960,2020,305000.0,4360000.0,69.2,81.2,24300.0,33000.0,13.3,12.0,0.36
Jordan,1960,2020,848000.0,10900000.0,59.4,76.9,1690.0,4310.0,11.85,17.5,1.55
Djibouti,1960,2020,85900.0,1090000.0,56.2,66.8,2970.0,3310.0,11.69,10.6,0.11
