country,year_start,year_end,population_start,population_end,life_exp_start,life_exp_end,gni_start,gni_end,pop_growth,life_exp_gain,gni_growth
China,1960,2020,654000000.0,1420000000.0,27.8,77.7,454.0,10600.0,1.17,49.9,22.35
Maldives,1960,2020,91700.0,514000.0,37.8,79.1,584.0,6490.0,4.61,41.3,10.11
Cameroon,1960,2020,5120000.0,26500000.0,27.5,63.5,1460.0,1520.0,4.18,36.0,0.04
Iran,1960,2020,21400000.0,87300000.0,44.5,76.2,2660.0,2960.0,3.08,31.7,0.11
Yemen,1960,2020,5540000.0,32299999.999999996,36.5,67.8,355.0,872.0,4.83,31.3,1.46
