country,year_start,year_end,population_start,population_end,life_exp_start,life_exp_end,gni_start,gni_end
Iraq,1960,2020,7080000.0,42600000.0,60.5,72.1,6320.0,4680.0
Ireland,1960,2020,2810000.0,4950000.0,70.1,81.1,6510.0,65600.0
Israel,1960,2020,1900000.0,8760000.0,71.8,82.0,6070.0,42600.0
Italy,1960,2020,49500000.0,59500000.0,69.9,81.9,9030.0,32299.999999999996
Jamaica,1960,2020,1640000.0,2820000.0,65.1,76.2,1710.0,4670.0
Japan,1960,2020,94500000.0,125000000.0,68.3,84.7,11100.0,40400.0
Jordan,1960,2020,848000.0,10900000.0,59.4,76.9,1690.0,4310.0
Kazakhstan,1960,2020,9320000.0,19000000.0,61.4,71.2,2210.0,8710.0
Kenya,1960,2020,7750000.0,52000000.0,54.3,66.4,454.0,1840.0
Kiribati,1960,2020,47100.0,126000.0,48.2,60.8,1530.0,2960.0
Kuwait,1960,2020,305000.0,4360000.0,69.2,81.2,24300.0,33000.0
Kyrgyz Republic,1960,2020,2220000.0,6420000.0,55.8,72.9,1030.0,1160.0
Lao,1960,2020,2120000.0,7320000.0,40.2,69.1,236.0,2520.0
Latvia,1960,2020,2150000.0,1900000.0,70.3,75.9,3020.0,17900.0
Lebanon,1960,2020,1800000.0,5660000.0,64.9,76.2,2100.0,5370.0
Lesotho,1960,2020,738000.0,2250000.0,53.3,52.0,437.0,1100.0
Liberia,1960,2020,1140000.0,5090000.0,40.8,66.2,428.0,570.0
Libya,1960,2020,1430000.0,6650000.0,52.8,75.5,1840.0,4960.0
Lithuania,1960,2020,2880000.0,2820000.0,69.9,74.8,3100.0,19600.0
Luxembourg,1960,2020,314000.0,630000.0,68.9,82.0,14200.0,80900.0
Madagascar,1960,2020,5070000.0,28200000.0,44.8,65.6,704.0,470.0
Malawi,1960,2020,3620000.0,19400000.0,37.7,64.8,296.0,580.0
Malaysia,1960,2020,7830000.0,33200000.000000004,62.8,75.1,1210.0,10600.0
Maldives,1960,2020,91700.0,514000.0,37.8,79.1,584.0,6490.0
Mali,1960,2020,5350000.0,21200000.0,37.7,62.0,387.0,830.0
Malta,1960,2020,338000.0,515000.0,69.1,82.3,1950.0,25400.0
Marshall Islands,1960,2020,15400.0,43433.333333333336,56.3,65.66666666666667,2250.0,5290.0
Mauritania,1960,2020,838000.0,4500000.0,50.6,70.7,310.0,1670.0
Mauritius,1960,2020,677000.0,1300000.0,58.1,75.5,2480.0,10200.0
Mexico,1960,2020,36300000.0,126000000.0,57.1,73.0,1460.0,8480.0
"Micronesia, Fed. Sts.",1960,2020,43000.0,112000.0,53.0,64.2,1690.0,3950.0
Moldova,1960,2020,3130000.0,3080000.0,58.4,73.3,918.0,4560.0
Mongolia,1960,2020,978000.0,3290000.0,43.9,68.2,1250.0,3740.0
Montenegro,1960,2020,473000.0,629000.0,70.8,74.4,632.0,7900.0
Morocco,1960,2020,11800000.0,36700000.0,46.7,73.0,1240.0,2980.0
Mozambique,1960,2020,6790000.0,31200000.0,45.1,58.4,314.0,460.0
Myanmar,1960,2020,21700000.0,53400000.0,38.7,69.4,688.0,1350.0
Namibia,1960,2020,590000.0,2490000.0,56.0,65.4,2700.0,4500.0
Nauru,1960,2020,4580.0,12300.0,60.6,63.6,19800.0,18700.0
Nepal,1960,2020,10200000.0,29300000.0,44.6,71.1,297.0,1190.0
Netherlands,1960,2020,11500000.0,17400000.0,73.5,81.0,15100.0,51100.0
New Zealand,1960,2020,2380000.0,5060000.0,71.2,81.8,13900.0,41500.0
Nicaragua,1960,2020,1790000.0,6760000.0,53.6,75.4,1200.0,1850.0
Niger,1960,2020,3500000.0,24300000.0,40.3,62.6,689.0,550.0
Nigeria,1960,2020,44900000.0,208000000.0,46.8,64.5,960.0,2000.0
North Macedonia,1960,2020,1460000.0,2110000.0,57.5,72.8,1220.0,5750.0
Norway,1960,2020,3580000.0,5380000.0,73.4,83.2,14000.0,78300.0
Oman,1960,2020,537000.0,4540000.0,45.1,72.7,611.0,14000.0
Pakistan,1960,2020,46000000.0,227000000.0,51.3,65.9,304.0,1270.0
Palau,1960,2020,9450.0,17933.333333333332,53.9,67.56666666666666,16500.0,16300.0
Palestine,1960,2020,1070000.0,5020000.0,58.8,73.6,832.0,3710.0
Panama,1960,2020,1130000.0,4290000.0,65.9,77.0,1830.0,12400.0
Papua New Guinea,1960,2020,1990000.0,9750000.0,53.7,64.8,661.0,2720.0
Paraguay,1960,2020,1890000.0,6620000.0,69.1,75.7,776.0,5180.0
Peru,1960,2020,10200000.0,33299999.999999996,47.3,77.4,1180.0,6030.0
Philippines,1960,2020,28500000.0,112000000.0,61.3,71.8,905.0,3430.0
Poland,1960,2020,29500000.0,38400000.0,67.9,76.7,1940.0,15200.0
Portugal,1960,2020,8880000.0,10300000.0,64.7,80.9,2580.0,21800.0
Qatar,1960,2020,36400.0,2760000.0,65.3,76.2,7770.0,56000.0
Romania,1960,2020,18500000.0,19400000.0,65.8,74.1,364.0,12600.0
Russia,1960,2020,120000000.0,146000000.0,69.0,71.2,1900.0,10700.0
Rwanda,1960,2020,2970000.0,13100000.0,42.2,68.7,551.0,780.0
Samoa,1960,2020,113000.0,215000.0,60.7,70.5,890.0,4050.0
Sao Tome and Principe,1960,2020,68000.0,219000.0,45.0,70.7,478.0,2060.0
Saudi Arabia,1960,2020,4170000.0,36000000.0,54.3,74.3,6370.0,21900.0
Senegal,1960,2020,3270000.0,16399999.999999998,46.9,68.5,1890.0,1430.0
Serbia,1960,2020,6580000.0,7360000.0,63.5,75.2,2390.0,7420.0
Seychelles,1960,2020,43200.0,106000.0,63.6,73.6,2170.0,12200.0
Sierra Leone,1960,2020,2300000.0,8230000.0,42.7,61.9,280.0,510.0
Singapore,1960,2020,1600000.0,5910000.0,65.5,84.9,2090.0,54900.0
Slovak Republic,1960,2020,4120000.0,5460000.0,70.4,76.7,4800.0,18900.0
Slovenia,1960,2020,1600000.0,2120000.0,65.3,80.4,6200.0,25400.0
Solomon Islands,1960,2020,133000.0,691000.0,45.8,59.2,609.0,2300.0
Somalia,1960,2020,2870000.0,16500000.0,45.0,58.6,340.0,320.0
South Africa,1960,2020,16500000.0,58800000.0,53.9,64.3,3620.0,6010.0
South Korea,1960,2020,25800000.0,51800000.0,59.1,82.8,1290.0,33000.0
South Sudan,1960,2020,2910000.0,10600000.0,48.6,63.9,623.0,997.0
Spain,1960,2020,30400000.0,47400000.0,69.5,81.5,4010.0,27400.0
Sri Lanka,1960,2020,9780000.0,21700000.0,64.0,77.3,534.0,3720.0
St. Kitts and Nevis,1960,2020,56700.0,47633.333333333336,58.3,72.1,2140.0,22300.0
St. Lucia,1960,2020,91600.0,179000.0,59.2,75.2,1120.0,8560.0
St. Vincent and the Grenadines,1960,2020,84100.0,105000.0,61.0,73.0,1910.0,7310.0
Sudan,1960,2020,8330000.0,44400000.0,49.8,70.5,1460.0,650.0
Suriname,1960,2020,268000.0,607000.0,63.0,72.4,2810.0,4620.0
Sweden,1960,2020,7490000.0,10400000.0,73.4,82.0,20800.0,54000.0
Switzerland,1960,2020,5330000.0,8640000.0,71.8,83.2,48000.0,82600.0
Syria,1960,2020,4610000.0,20800000.0,61.0,74.4,3840.0,1220.0
Tajikistan,1960,2020,2130000.0,9540000.0,52.5,69.6,904.0,1060.0
Tanzania,1960,2020,10000000.0,61700000.0,45.3,67.3,219.0,1080.0
Thailand,1960,2020,26600000.0,71500000.0,60.9,78.5,695.0,7040.0
Timor-Leste,1960,2020,469000.0,1300000.0,45.7,70.7,363.0,1990.0
Togo,1960,2020,1650000.0,8440000.0,47.0,65.2,649.0,920.0
Tonga,1960,2020,67400.0,105000.0,64.6,73.0,849.0,5190.0
Trinidad and Tobago,1960,2020,847000.0,1520000.0,64.3,74.8,7680.0,15400.0
Tunisia,1960,2020,4200000.0,12200000.0,49.4,77.0,1160.0,3300.0
Turkey,1960,2020,27500000.0,84100000.0,49.5,77.8,1010.0,9050.0
Turkmenistan,1960,2020,1600000.0,6250000.0,55.1,70.9,1660.0,7310.0
Tuvalu,1960,2020,5400.0,11100.0,51.4,68.00000000000001,2060.0,5913.333333333333
Uganda,1960,2020,7620000.0,44400000.0,49.0,66.4,1060.0,800.0
Ukraine,1960,2020,42800000.0,43900000.0,71.1,73.2,1160.0,3540.0
United Arab Emirates,1960,2020,133000.0,9290000.0,60.3,74.0,27200.0,39400.0
United Kingdom,1960,2020,52500000.0,67099999.99999999,71.2,79.4,15400.0,39700.0
United States,1960,2020,176000000.0,336000000.0,70.1,77.0,22300.0,64500.0
Uruguay,1960,2020,2530000.0,3430000.0,68.3,77.3,4030.0,15800.0
Uzbekistan,1960,2020,8369999.999999999,33500000.0,61.1,68.4,1250.0,1740.0
Vanuatu,1960,2020,64599.99999999999,312000.0,51.4,65.5,1050.0,3190.0
Venezuela,1960,2020,8160000.0,28500000.0,65.2,75.1,5190.0,3580.0
Vietnam,1960,2020,32700000.000000004,96600000.0,58.4,74.5,343.0,2650.0
Yemen,1960,2020,5540000.0,32299999.999999996,36.5,67.8,355.0,872.0
Zambia,1960,2020,3120000.0,18900000.0,49.6,63.1,506.0,1160.0
Zimbabwe,1960,2020,3810000.0,15700000.0,55.5,60.7,784.0,1140.0
